bloque_id,nombre,veces_sugerido,sesiones,ninos
movimiento_mover_pasos,Mover pasos,95,30,22
eventos_bandera_verde,Al presionar bandera verde,80,38,23
apariencia_decir_segundos,Decir durante segundos,56,18,13
apariencia_siguiente_disfraz,Siguiente disfraz,54,21,14
movimiento_cambiar_x,Cambiar x,52,16,14
eventos_tecla_presionada,Al presionar tecla,46,14,14
control_repetir_veces,Repetir veces,44,19,17
apariencia_cambiar_fondo,Cambiar fondo,43,16,16
movimiento_girar_derecha_grados,Girar a la derecha,39,18,17
movimiento_cambiar_y,Cambiar y,35,7,6
control_esperar_segundos,Esperar segundos,17,8,7
control_por_siempre,Por siempre,16,8,6
movimiento_girar_izquierda_grados,Girar a la izquierda,13,7,6
sensores_tocando,Tocando objeto,13,4,4
eventos_al_recibir_mensaje,Al recibir mensaje,8,3,3
variables_cambiar,Cambiar variable,7,4,4
apariencia_cambiar_disfraz,Cambiar disfraz,6,4,3
eventos_enviar_mensaje,Enviar mensaje,6,3,3
sonido_iniciar_sonido,Iniciar sonido,6,4,4
sonido_tocar_sonido_hasta_que_termine,Tocar sonido hasta que termine,6,2,2
sensores_tecla_presionada,Tecla presionada (sensor),5,3,3
control_si_entonces,Si entonces,4,3,3
movimiento_apuntar_direccion,Apuntar en dirección,3,2,2
apariencia_esconder,Esconder,2,2,2
movimiento_fijar_x,Fijar x,2,1,1
operadores_numero_aleatorio,Número aleatorio,2,1,1
variables_boton_crear,Crear una variable,2,2,2
apariencia_mostrar,Mostrar,1,1,1
movimiento_fijar_y,Fijar y,1,1,1
